order_date,Sales_QTY,Sales_amount,currency,User_id,Restaurant_id
2020-05-25,3,824,INR,23838,425557.0
2019-09-23,1,102,INR,21768,183194.0
2018-06-08,42,51593,INR,25081,435911.0
2019-02-20,1,1213,INR,43971,466488.0
2017-12-05,1,106,INR,90699,154766.0
2019-03-27,1,153,INR,41566,37105.0
2019-05-16,23,46324,INR,60393,431530.0
2018-12-20,1,324,INR,60665,187064.0
2019-11-06,60,0,INR,79276,361558.0
2018-03-19,41,70315,INR,98079,522060.0
2019-07-08,1,111,INR,70430,560676.0
2017-10-27,1,162,INR,38755,491634.0
2018-07-05,1,116,INR,79072,364081.0
2019-09-06,80,22903,INR,63365,547098.0
2019-11-04,1,796,INR,93608,539663.0
2018-02-22,1,806,INR,97208,504700.0
2019-06-13,1,125,INR,7125,519196.0
2017-10-17,6,1870,INR,72523,520986.0
2020-02-06,1,394,INR,56177,422938.0
2020-03-13,1,65,INR,82691,419399.0
2019-07-11,120,66491,INR,48345,522992.0
2019-12-03,1,46,INR,27800,517784.0
2018-08-28,5,2866,INR,17616,3440.0
2019-06-24,1,282,INR,38129,142033.0
2018-01-09,20,7486,INR,34647,552880.0
2017-12-05,3,472,INR,27868,423073.0
2020-04-30,33,8537,INR,63861,473317.0
2018-07-18,4,3444,INR,73274,126040.0
2020-04-09,5,3028,INR,49275,310315.0
2018-09-21,8,2282,INR,4153,420821.0
2019-06-17,1,486,INR,29371,180286.0
2018-01-05,2,468,INR,36056,477763.0
2019-09-17,1,1069,INR,14990,529575.0
2018-04-20,1,116,INR,71606,516740.0
2018-03-21,1,65,INR,77374,484341.0
2018-11-21,56,20250,INR,78080,291543.0
2017-10-20,1,65,INR,63128,30101.0
2018-09-28,1,79,INR,96152,486639.0
2018-01-30,1,259,INR,21578,120303.0
2019-04-10,5,11731,INR,68440,532861.0
2017-11-22,1,801,INR,68442,197527.0
2017-12-19,2,856,INR,20482,554539.0
2018-07-03,1,231,INR,13867,427691.0
2017-10-27,8,7083,INR,37721,512585.0
2018-02-19,1,1148,INR,43089,255529.0
2020-01-31,24,10755,INR,79059,557833.0
2020-05-04,3,2833,INR,11970,344815.0
2018-07-23,1,278,INR,63578,474160.0
2019-02-01,43,12486,INR,71859,553124.0
2020-03-23,1,69,INR,25088,380706.0
2018-05-23,1,403,INR,43964,390512.0
2020-01-06,2,2486,INR,39907,521753.0
2020-06-08,6,7222,INR,79174,577506.0
2019-09-20,1,134,INR,58367,515420.0
2018-09-25,1,190,INR,77956,550000.0
2017-11-03,1,0,INR,2489,567475.0
2017-12-07,70,216667,INR,42544,496018.0
2018-02-02,2,1509,INR,84707,325483.0
2017-10-20,1,106,INR,81563,67937.0
2020-03-06,2,338,INR,23902,401817.0
2019-02-19,1,565,INR,82992,65252.0
2018-12-05,53,15606,INR,8474,491863.0
2018-07-11,1,222,INR,99362,479400.0
2018-12-13,1,51,INR,96711,350794.0
2019-08-05,1,69,INR,76771,200302.0
2017-12-08,1,194,INR,99671,263754.0
2017-12-18,53,84370,INR,31864,493333.0
2019-06-06,1,93,INR,1850,505544.0
2017-12-11,1,130,INR,25830,501446.0
2018-06-21,11,5537,INR,35722,535892.0
2017-11-29,13,3181,INR,65033,211063.0
2018-08-13,1,88,INR,2715,300891.0
2019-04-11,1,69,INR,47794,572135.0
2019-03-08,1,616,INR,32727,570175.0
2019-05-10,1,65,INR,89791,49762.0
2019-09-04,1,181,INR,25846,101434.0
2019-01-25,1,106,INR,50633,399850.0
2019-06-05,1,356,INR,4368,424197.0
2020-06-04,1,264,INR,51078,68554.0
2018-04-30,1,278,INR,73943,10728.0
2020-02-05,1,46,INR,4977,317878.0
2019-04-18,1,1986,INR,72326,569471.0
2017-11-03,1,74,INR,39488,449455.0
2019-05-02,3,1245,INR,85622,260126.0
2018-12-10,1,148,INR,21788,13928.0
2018-01-11,12,3000,INR,15376,471474.0
2017-12-06,1,134,INR,40021,545176.0
2018-06-29,1,83,INR,80959,379204.0
2018-04-16,1,157,INR,11974,268070.0
2018-04-16,1,194,INR,31051,334993.0
2018-11-06,1,69,INR,11806,240976.0
2019-03-01,22,2102,INR,61821,449664.0
2018-07-20,10,3472,INR,98057,390219.0
2017-12-29,11,10991,INR,74035,482155.0
2020-02-12,19,24528,INR,33005,268257.0
2018-11-16,1,204,INR,75021,249303.0
2019-04-16,53,84352,INR,22377,468590.0
2018-07-11,140,83810,INR,81045,348755.0
2018-03-22,1,56,INR,66683,550192.0
2018-09-05,1,93,INR,88517,499519.0
2018-08-10,3,6125,INR,44775,546483.0
2019-11-05,1,384,INR,32331,531104.0
2018-10-23,2,236,INR,48250,478927.0
2018-04-11,1,46,INR,29789,307485.0
2017-11-10,1,42,INR,14455,519256.0
2018-09-20,1,1394,INR,79375,504465.0
2020-01-15,3,1019,INR,50179,277487.0
2018-07-20,1,796,INR,21716,226773.0
2018-09-26,1,551,INR,31150,349073.0
2019-02-05,3,361,INR,32504,381596.0
2018-03-28,1,79,INR,98078,299956.0
2018-02-20,2,236,INR,47563,410467.0
2018-10-18,1,79,INR,58549,292518.0
2018-07-30,1,782,INR,27356,493703.0
2018-11-08,200,41144,INR,68166,501926.0
2018-05-04,1,500,INR,25337,329544.0
2019-06-26,1,51,INR,44650,238432.0
2020-06-15,1,176,INR,20216,384967.0
2017-11-21,60,5255,INR,64369,517321.0
2019-08-22,1,1366,INR,53620,543226.0
2018-08-29,53,31569,INR,67882,206995.0
2019-02-04,1,120,INR,25505,536863.0
2019-02-13,2,255,INR,25388,200932.0
2018-01-15,128,17231,INR,75020,563713.0
2019-10-03,1,65,INR,59531,121761.0
2019-03-22,4,2157,INR,13312,51014.0
2019-10-21,6,9421,INR,8709,518818.0
2018-03-13,3,1435,INR,64053,522607.0
2017-11-24,1,102,INR,68556,493215.0
2019-07-15,2,588,INR,50663,299103.0
2019-10-24,1,167,INR,28388,223872.0
2018-03-23,52,53676,INR,13718,240526.0
2018-06-26,11,755,INR,49965,347045.0
2020-02-13,1,218,INR,11639,5589.0
2018-03-13,5,685,INR,60022,223360.0
2019-01-08,1,83,INR,98638,334864.0
2018-09-25,1,134,INR,63617,328886.0
2018-10-04,1,458,INR,47622,554599.0
2018-07-02,5,1319,INR,42968,493082.0
2020-02-12,1,79,INR,2203,569414.0
2018-04-20,1,185,INR,37721,476870.0
2018-02-22,1,93,INR,23306,62186.0
2019-04-11,1,88,INR,24850,395970.0
2020-02-26,3,1042,INR,40990,546220.0
2019-05-21,1,278,INR,50023,546620.0
2019-03-26,9,1750,INR,38025,55702.0
2019-10-08,3,3569,INR,15890,499604.0
2018-11-28,2,273,INR,675,15096.0
2018-07-24,3,1551,INR,25358,525519.0
2018-09-18,3,1324,INR,42877,52248.0
2020-05-06,1,106,INR,68805,23438.0
2018-03-23,1,208,INR,636,571202.0
2018-05-08,1,171,INR,2911,402716.0
2019-05-08,2,750,INR,78624,69062.0
2020-05-25,9,1699,INR,42589,568167.0
2017-11-03,36,17259,INR,99743,533448.0
2018-11-28,1,329,INR,9217,404293.0
2018-06-22,1,111,INR,11599,530051.0
2018-05-16,3,176,INR,38109,314171.0
2018-01-18,43,23769,INR,9790,550552.0
2020-04-28,1,477,INR,24784,
2019-01-18,1,51,INR,45167,531170.0
2020-04-09,48,10495,INR,14753,467728.0
2018-03-22,47,44569,INR,12054,375885.0
2019-03-26,6,5204,INR,5989,539514.0
2018-05-07,1,324,INR,39546,472516.0
